all_factors,log_factors,clip_factors
buy_mega_sum_delta_3s,flickering_b_3s,flickering_a_300s
sell_mega_delta_3s,flickering_b_15s,flickering_b_300s
buy_mega_delta_15s,flickering_a_3s,flickering_a_120s
sell_mega_delta_15s,flickering_a_15s,flickering_b_120s
buy_mega_delta_60s,flickering_b_60s,flickering_b_60s
sell_mega_delta_60s,flickering_a_60s,flickering_a_60s
sell_sum_delta_3s,flickering_b_120s,flickering_b_15s
buy_sum_delta_3s,flickering_a_120s,flickering_a_15s
net_bid_amt_delta_3s,flickering_a_300s,flickering_b_3s
net_mega_bid_amt_delta_3s,flickering_b_300s,flickering_a_3s
active_buy_sell_diff_3s,lower_ask_amt_120s,lower_ask_amt_60s
bulk_buy_sell_diff_3s,lower_ask_amt_60s,lower_ask_amt_30s
lower_ask_amt_3s,lower_ask_amt_30s,lower_ask_amt_120s
higher_bid_amt_3s,lower_ask_amt_15s,lower_ask_amt_15s
lower_ask_fill_amt_3s,lower_ask_amt_3s,higher_bid_amt_60s
higher_bid_fill_amt_3s,higher_bid_amt_120s,higher_bid_amt_15s
buy_mega_delta_120s,higher_bid_amt_60s,higher_bid_amt_30s
sell_mega_delta_120s,higher_bid_amt_15s,higher_bid_amt_120s
cancel_new_diff_b_3s,higher_bid_amt_30s,lower_ask_amt_3s
cancel_new_diff_a_3s,higher_bid_amt_3s,net_bid_amt_delta_3s
sell_sum_delta_15s,net_mega_bid_amt_delta_120s,net_bid_amt_delta_15s
buy_sum_delta_15s,net_mega_bid_amt_delta_60s,net_mega_bid_amt_delta_3s
order_diff1_3s,net_mega_bid_amt_delta_30s,higher_bid_amt_3s
net_bid_amt_delta_15s,net_mega_bid_amt_delta_3s,net_bid_amt_delta_30s
net_mega_bid_amt_delta_15s,net_mega_bid_amt_delta_15s,net_mega_bid_amt_delta_15s
active_buy_sell_diff_15s,slope_bid3_3s,net_bid_amt_delta_60s
bulk_buy_sell_diff_15s,slope_bidh2_3s,net_mega_bid_amt_delta_30s
lower_ask_amt_15s,slope_bid3_15s,rsi_3s
higher_bid_amt_15s,slope_bidh2_15s,rsi_15s
lower_ask_fill_amt_15s,slope_bid3_1min,rsi_1min
higher_bid_fill_amt_15s,slope_bidh2_1min,rsi_2min
cancel_diff10_3s,slope_bidh2_2min,rsi_5min
order_diff10_3s,slope_bidh2_5min,net_mega_bid_amt_delta_60s
sell_sum_delta_60s,slope_bid3_2min,net_bid_amt_delta_120s
buy_sum_delta_60s,slope_bid3_5min,net_mega_bid_amt_delta_120s
net_bid_amt_delta_30s,slope_askh2_2min,skew_120s
net_mega_bid_amt_delta_30s,slope_askh2_1min,skew_60s
active_buy_sell_diff_30s,slope_askh2_5min,slope_askh2_3s
bulk_buy_sell_diff_30s,slope_ask3_5min,slope_diffh2_3s
lower_ask_amt_30s,slope_ask3_2min,skew_15s
higher_bid_amt_30s,slope_askh2_15s,slope_askh2_15s
lower_ask_fill_amt_30s,slope_ask3_1min,slope_diffh2_15s
higher_bid_fill_amt_30s,slope_askh2_3s,slope_ask3_3s
cancel_new_diff_b_15s,slope_ask3_15s,slope_askh2_1min
cancel_new_diff_a_15s,slope_ask3_3s,slope_diff3_3s
sell_sum_delta_120s,net_bid_amt_delta_15s,slope_ask3_15s
buy_sum_delta_120s,net_bid_amt_delta_3s,slope_askh2_2min
net_bid_amt_delta_60s,net_bid_amt_delta_60s,slope_diffh2_1min
net_mega_bid_amt_delta_60s,net_bid_amt_delta_30s,slope_diffh2_2min
active_buy_sell_diff_60s,net_bid_amt_delta_120s,slope_diff3_15s
bulk_buy_sell_diff_60s,,slope_askh2_5min
order_diff1_15s,,slope_ask3_1min
lower_ask_amt_60s,,slope_diffh2_5min
higher_bid_amt_60s,,slope_diff3_1min
lower_ask_fill_amt_60s,,slope_ask3_2min
higher_bid_fill_amt_60s,,ema_3s
cancel_diff10_15s,,ema_15s
order_diff10_15s,,ema_30s
net_bid_amt_delta_120s,,ema_1min
net_mega_bid_amt_delta_120s,,ema_2min
active_buy_sell_diff_120s,,ema_5min
bulk_buy_sell_diff_120s,,slope_diff3_2min
lower_ask_amt_120s,,slope_ask3_5min
higher_bid_amt_120s,,slope_diff3_5min
lower_ask_fill_amt_120s,,slope_bid3_3s
higher_bid_fill_amt_120s,,slope_bid3_15s
cancel_new_diff_b_60s,,slope_bid3_1min
cancel_new_diff_a_60s,,slope_bid3_2min
cancel_new_diff_b_120s,,slope_bidh2_3s
cancel_new_diff_a_120s,,slope_bid3_5min
slope_diff3_3s,,slope_bidh2_15s
QR1_3,,slope_bidh2_1min
slope_diff3_15s,,slope_bidh2_2min
QR1_3_15s,,slope_bidh2_5min
slope_diff3_1min,,willr_3s
QR1_3_1min,,willr_15s
QR1_3_5min,,willr_1min
slope_diff3_5min,,willr_2min
slope_ask3_3s,,willr_5min
slope_diff3_2min,,
QR1_3_2min,,
slope_ask3_15s,,
cancel_new_diff_b_300s,,
cancel_new_diff_a_300s,,
slope_ask3_5min,,
slope_ask3_1min,,
slope_ask3_2min,,
slope_diffh2_5min,,
slope_bid3_5min,,
slope_bidh2_5min,,
slope_diffh2_3s,,
slope_bid3_3s,,
slope_bidh2_3s,,
slope_diffh2_15s,,
slope_bid3_15s,,
slope_bidh2_15s,,
QR1_2_5min,,
slope_diffh2_2min,,
slope_bid3_2min,,
slope_bidh2_2min,,
slope_diffh2_1min,,
slope_bid3_1min,,
slope_bidh2_1min,,
ma_close_ret_10,,
ma_close_ret_2_10,,
QR1_2,,
QR1_2_15s,,
QR1_2_2min,,
QR1_2_1min,,
flickering_a_300s,,
flickering_b_300s,,
ema_5min,,
ma_close_ret_5,,
ma_close_ret_2_5,,
ema_2min,,
flickering_b_120s,,
flickering_a_120s,,
slope_askh2_5min,,
ema_1min,,
flickering_b_60s,,
flickering_a_60s,,
ema_3s,,
ema_15s,,
ema_30s,,
ret_3s,,
