"ticker","wind1","wind2","wind3","sw1","sw2","sw3","avg_price"
"000001.SZ",1,0,44,5,103,58,15.161022993797577
"000002.SZ",7,20,17,6,51,118,19.220951344944126
"000063.SZ",2,23,43,25,81,52,26.245445838197725
"000069.SZ",9,2,23,6,51,69,6.632118397113991
"000100.SZ",2,23,33,0,68,227,4.877812285552845
"000157.SZ",4,10,20,19,2,203,6.644218008035029
"000166.SZ",1,18,49,28,79,147,4.404708521765481
"000301.SZ",5,19,0,29,108,144,16.762775312563964
"000333.SZ",9,1,41,15,6,25,60.7796913212825
"000338.SZ",4,10,20,26,85,88,13.61985597587681
"000408.SZ",5,19,0,23,37,190,32.924233614988445
"000425.SZ",4,10,20,19,2,203,5.492639700718341
"000538.SZ",3,8,14,20,23,169,71.97681559127564
"000568.SZ",0,6,48,24,93,117,214.1993136166119
"000596.SZ",0,6,48,24,93,117,209.6827550248947
"000625.SZ",9,13,57,26,106,229,15.726457430112161
"000651.SZ",9,1,41,15,6,25,34.72541216090861
"000661.SZ",3,8,36,20,21,39,182.73841599183405
"000708.SZ",5,19,46,2,4,93,20.41411945016858
"000723.SZ",10,5,30,11,0,61,13.258297490485825
"000725.SZ",2,23,33,0,68,227,4.2587177304370485
"000733.SZ",2,23,33,1,87,63,117.56748469899975
"000768.SZ",4,10,55,1,56,47,28.55817847550987
"000776.SZ",1,18,49,28,79,147,18.236537457495434
"000786.SZ",5,19,35,13,11,48,31.519263886769323
"000792.SZ",5,19,0,23,37,190,30.89784260354108
"000800.SZ",9,13,57,26,116,198,9.368704190021823
"000858.SZ",0,6,48,24,93,117,178.66262343115974
"000876.SZ",0,6,38,7,94,212,16.001913333515656
"000877.SZ",5,19,35,13,55,64,13.512756819735078
"000895.SZ",0,6,38,24,18,40,29.323945251447444
"000938.SZ",2,23,4,3,88,231,20.074212987751068
"000963.SZ",3,17,50,20,27,199,38.542932835249836
"000977.SZ",2,23,4,3,52,202,28.746394369948394
"001289.SZ",6,4,1,12,20,119,24.425686669167625
"001979.SZ",7,20,17,6,51,69,13.72686678521729
"002001.SZ",3,8,14,20,27,3,28.036023899528857
"002007.SZ",3,8,36,20,21,10,21.635911741658106
"002008.SZ",2,23,33,19,70,23,35.57851923405282
"002027.SZ",9,14,39,9,113,81,6.583347335887124
"002032.SZ",9,1,41,15,16,6,52.45495062969137
"002049.SZ",2,22,6,0,35,228,197.16120144094216
"002050.SZ",4,10,20,15,100,161,22.640318022764177
"002064.SZ",5,19,0,23,72,181,8.806772612011722
"002074.SZ",4,10,24,27,99,230,39.28364262671463
"002120.SZ",4,21,45,8,38,105,17.63435659697112
"002129.SZ",2,22,6,27,75,7,46.684725598864276
"002142.SZ",1,0,44,5,76,83,35.72084058960471
"002179.SZ",2,23,33,1,87,63,76.62120182069808
"002180.SZ",2,22,6,0,35,228,46.7640632314184
"002202.SZ",4,10,24,27,42,197,13.888215652764243
"002230.SZ",2,15,34,3,102,152,43.11387988857584
"002236.SZ",2,23,33,3,52,59,17.326263210010517
